,"Площадь
территории, 
тыс. км2","Численность 
 населения 
на 1 января 
2021 г., 
тыс. человек","Средне-
годовая численность
занятых, 
тыс. человек","Средне-
душевые денежные доходы 
(в месяц), руб.","Потреби-
тельские расходы
в среднем 
на душу населения 
(в месяц), руб.
","Средне-
месячная 
номиналь-
ная начис-
ленная 
заработная плата работников организаций, руб.","Валовой 
региональ-
ный
 продукт 
в 2019 г. ,
млрд руб.","Инвестиции 
в основной 
капитал, 
млрд руб.","Основные 
фонды в экономике 
(по полной учетной стоимости; на конец года),
млрд руб.","Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, 
млрд руб.",,,,"Продукция 
сельского 
хозяйства - 
всего,
млрд руб.",в том числе,,"Ввод 
в действие 
жилых домов,
тыс. м2 
общей 
площади 
жилых 
помещений","Оборот 
розничной 
торговли, 
млрд руб.
","Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5), 
млрд руб."
,,,,,,,,,,"добыча 
полезных 
ископаемых","обрабаты-
вающие производства","обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,"растение-
водства","животно-
водства",,,
Ставропольский край,"66,2","2 792,8","1 247,9",23 911,21 277,33 877,"827,0","232,0","3 226,6","11,1","307,7","68,7","12,6","183,5","120,4","63,1","1 222,0","520,4","60,4"
Приволжский федеральный округ,"1 037,0","29 070,8","13 114,1",28 555,22 575,36 975,"14 097,8","2 763,7","52 049,5","2 074,2","9 093,3","987,2","273,2","1 519,0","817,7","701,3","15 774,9","5 786,1","719,7"
,,,,,,,,,,,,,,,,,,,
Республика Башкортостан,"142,9","4 013,8","1 588,9",30 249,24 843,38 738,"1 810,1","365,9","6 698,4","212,9","1 165,5","137,7","28,2","191,8","88,4","103,4","2 455,1","912,7","110,8"
Республика Марий Эл,"23,4","675,3","264,5",21 264,15 376,32 278,"204,1","36,6","933,1","0,9","142,6","11,9","7,0","44,3","13,0","31,3","369,8","91,2","3,6"
Республика Мордовия,"26,1","779,0","365,4",20 631,15 155,31 105,"263,3","45,7","1 117,6","0,1","236,6","12,4","3,3","77,6","32,6","45,0","324,6","99,9","26,0"
Республика Татарстан,"67,8","3 894,1","1 938,8",35 635,28 399,39 761,"2 795,8","605,8","9 232,0","575,5","1 953,9","139,4","41,3","264,3","136,5","127,8","2 680,1","929,1","20,3"
Удмуртская Республика,"42,1","1 493,4","678,4",25 449,18 867,36 380,"721,3","109,4","2 437,5","187,6","337,1","41,4","15,5","71,5","22,8","48,7","802,6","239,7","52,3"
Чувашская Республика,"18,3","1 207,9","478,9",21 155,16 425,31 844,"339,8","52,4","1 543,6","0,5","221,8","24,3","6,5","44,8","22,9","21,9","577,6","171,7","7,2"
Пермский край,"160,2","2 579,2","1 108,5",30 215,23 999,41 958,"1 495,0","278,4","6 327,7","289,9","1 059,5","122,6","27,7","49,9","16,2","33,7","1 214,8","554,5","149,3"
