,z_nfm,zc1.1,zc6,zc5,zc9.7.2a,zc9.7.3a,zc9.7.1a,zc9.8a,zc9.101a,zc9.12a,ze1.1c,ze4,ze9.8b,ze11,ze12,ze44,ze14,ze16,zf12_a,zf14.8,zf14.12,zf14
3979,6.0,8800000.0,50.3,28.5,Нет,Да,Нет,Нет,Да,Да,180.0,80000.0,3000.0,8000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Полгода и больше,Нет,Нет,309400.0
3980,3.0,8500000.0,39.0,19.2,Нет,Да,Нет,Нет,Нет,Нет,38.0,30000.0,1200.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Нет,Нет,65050.0
3981,5.0,10000000.0,58.9,39.0,Нет,Да,Нет,Нет,Да,Да,104.0,55000.0,2600.0,8500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Несколько месяцев,Нет,Нет,239500.0
3982,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.0,38.0,Нет,Да,Нет,Нет,Да,Нет,46.0,25000.0,500.0,8000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше недели,Нет,Нет,86100.0
3983,1.0,4000000.0,44.7,26.0,Нет,Нет,Нет,Нет,Нет,Нет,37.0,14000.0,1000.0,5500.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше недели,Нет,Нет,38800.0
3984,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,44.0,28.0,Нет,Нет,Нет,Нет,Да,Нет,36.0,10000.0,680.0,9400.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше двух недель,Да,Да,40216.0
3985,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,46.2,29.0,Нет,Нет,Нет,Нет,Нет,Нет,80.0,15000.0,1000.0,6000.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Несколько месяцев,Да,Нет,43900.0
3986,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,37.0,20.0,Нет,Да,Нет,Да,Да,Нет,,10000.0,500.0,4500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Полгода и больше,Нет,Нет,120000.0
3987,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.6,33.0,Нет,Нет,Нет,Нет,Нет,Нет,40.0,20000.0,2000.0,6000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Да,Полгода и больше,Нет,Нет,170000.0
3988,5.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,59.9,30.5,Нет,Нет,Нет,Нет,Нет,Нет,658.0,45000.0,5000.0,15000.0,Нет,"Не сортирует, так как не считает нужным",Да,Да,Несколько месяцев,Нет,Да,108000.0
